,Subgroup_A,Subgroup_B,Selection_Rate_A,Selection_Rate_B,Disparate_Impact_Ratio,Sensitivity_A [95% CI],Sensitivity_B [95% CI],Specificity_A,Specificity_B,Equal_Opportunity_Gap,Equal_Opportunity_Gap [95% CI],Specificity_Gap,False_Positive_Rate_Gap,Fairness_Verdict,Clinical_Fairness_Verdict
Sex_Subgroups,Female (N=1191),Male (N=1067),24.3%,37.8%,0.645,"63.2% [53.6%, 71.8%]","87.8% [82.2%, 93.0%]",79.9%,70.3%,24.59%,"24.59% [14.49%, 35.54%]",9.59%,9.59%,Clinical Subgroup Disparity Observed (Requires Calibrated Subgroup Thresholding),Clinical Subgroup Disparity Observed (Requires Calibrated Subgroup Thresholding)
Age_Subgroups,Younger (<50) (N=1109),Older Adults (>=50) (N=1149),1.4%,59.0%,0.023,"7.7% [0.0%, 18.2%]","84.5% [80.2%, 89.0%]",98.8%,47.7%,76.83%,"76.83% [65.15%, 86.80%]",51.11%,51.11%,Clinical Subgroup Disparity Observed (Requires Calibrated Subgroup Thresholding),Clinical Subgroup Disparity Observed (Requires Calibrated Subgroup Thresholding)
